地浸砂岩型钻孔分层地质特征表,,,,,,,,,,,,,,,,,,,
工作区编号(必填),钻孔编号(必填),分层号(必填),换层深度(m),岩石分层厚度(m),地层代号,年代地层单位名称(有提示信息DSA),岩石地层单位名称(有提示信息DSB),花纹代号,粒度(有提示信息YAN),岩石名称(有提示信息YSEB),岩性描述,地质描述,碳酸岩含量,岩石固结程度,其他（岩石成分）,轴心夹角度(岩层倾角),备注,数据入库日期(年.月.日),,
1,2,3,4,,
MDBTAD,GCJCBN,MDLOA,HCSD,TKACCM,DCDH,DSF,DSBF,YSHFA,YXLD,YSEB,PKICGA,DZMS,FCTSY,FCGJCD,YSQT,GCJLIJ,MDLZZ,GGDDIW,,
220620,P2800,84,257,0.5,J2x1,,中侏罗统西山窑组下段,,细砂,细砂岩,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,85,257.3,0.3,J2x1,,中侏罗统西山窑组下段,,粉砂,粉砂岩,灰色粉砂岩,灰色粉砂岩,I,,,,,,
220620,P2800,86,260.9,3.6,J2x1,,中侏罗统西山窑组下段,,粗砂,粗砂岩,灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,87,265.7,4.8,J2x1,,中侏罗统西山窑组下段,,粗砂,含砾粗砂岩,浅黄色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,浅黄色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,88,269.3,3.6,J2x1,,中侏罗统西山窑组下段,,砾,砂砾岩,浅黄色砂砾岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,浅黄色砂砾岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,89,269.9,0.6,J2x1,,中侏罗统西山窑组下段,,泥,含炭泥岩,黑色炭质泥岩,黑色炭质泥岩,I,,,,,,
220620,P2800,90,272.2,2.3,J2x1,,中侏罗统西山窑组下段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,91,273.2,1,J2x1,,中侏罗统西山窑组下段,,砾,砂砾岩,浅黄色砂砾岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,浅黄色砂砾岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,92,275.7,2.5,J2x1,,中侏罗统西山窑组下段,,中砂,中砂岩,浅黄色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,浅黄色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,93,276.2,0.5,J2x1,,中侏罗统西山窑组下段,,粗砂,含砾粗砂岩,浅黄色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,浅黄色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,94,279.8,3.6,J2x1,,中侏罗统西山窑组下段,,砾,砂砾岩,黄色砂砾岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,黄色砂砾岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,95,281.6,1.8,J2x1,,中侏罗统西山窑组下段,,粗砂,含砾粗砂岩,浅黄色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,浅黄色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,96,286.5,4.9,J2x1,,中侏罗统西山窑组下段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,97,287,0.5,J2x1,,中侏罗统西山窑组下段,,粉砂,粉砂岩,灰色粉砂岩,灰色粉砂岩,I,,,,,,
220620,P2800,98,287.8,0.8,J2x1,,中侏罗统西山窑组下段,,细砂,细砂岩,浅黄色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,浅黄色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,99,289.75,1.95,J1s,,下侏罗统三工河组,,粗砂,粗砂岩,浅黄色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,浅黄色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,100,291.7,1.95,J1s,,下侏罗统三工河组,,粗砂,含砾粗砂岩,浅黄色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,浅黄色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,101,292.75,1.05,J1s,,下侏罗统三工河组,,砾,砂砾岩,黄色砂砾岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,黄色砂砾岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
